Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
367.0,18229.0,37022.0,182966.0,365853.0
356.0,18180.0,36010.0,181530.0,362069.0
338.0,17875.0,35747.0,179297.0,358760.0
320.0,17752.0,35814.0,178167.0,355875.0
303.0,17556.0,35366.0,176479.0,353044.0
345.0,17578.0,35021.0,174797.0,350200.0
334.0,17302.0,34716.0,174185.0,347938.0
342.0,17278.0,35004.0,172816.0,345816.0
346.0,17117.0,33871.0,171901.0,343814.0
350.0,17333.0,34466.0,171161.0,343473.0
356.0,16967.0,34483.0,171530.0,342884.0
353.0,17023.0,34219.0,170750.0,341698.0
332.0,17205.0,34316.0,171247.0,340989.0
349.0,16896.0,34056.0,170918.0,342772.0
341.0,16976.0,34250.0,170878.0,341771.0
355.0,17136.0,34397.0,171691.0,342943.0
324.0,17341.0,34569.0,172973.0,344550.0
346.0,17195.0,34561.0,172707.0,346223.0
351.0,17492.0,35001.0,174455.0,348700.0
347.0,17566.0,35230.0,176280.0,352207.0
317.0,17684.0,35345.0,177158.0,354098.0
372.0,17838.0,35280.0,178346.0,358934.0
327.0,18019.0,36178.0,180582.0,362208.0
334.0,18265.0,36848.0,182892.0,367366.0
377.0,18477.0,37094.0,185419.0,371635.0
359.0,18860.0,37604.0,188819.0,376967.0
401.0,19187.0,38193.0,191488.0,381938.0
377.0,19335.0,38482.0,194419.0,389690.0
377.0,19749.0,39727.0,198531.0,396482.0
357.0,20095.0,40257.0,202030.0,403875.0
383.0,20715.0,41200.0,205536.0,410704.0
432.0,21021.0,42285.0,209748.0,419859.0
440.0,21256.0,42826.0,214594.0,428841.0
465.0,22242.0,43791.0,218905.0,438469.0
437.0,22606.0,45043.0,224434.0,448537.0
454.0,22677.0,45921.0,230377.0,459093.0
465.0,23689.0,46934.0,234369.0,467541.0
459.0,24259.0,47441.0,240626.0,479931.0
504.0,24896.0,49471.0,246163.0,492999.0
497.0,25040.0,50877.0,252503.0,503186.0
505.0,26011.0,51093.0,257952.0,516297.0
511.0,26441.0,52463.0,265105.0,528361.0
539.0,27102.0,54315.0,271586.0,542848.0
543.0,27713.0,55343.0,277553.0,554925.0
570.0,28697.0,56579.0,284521.0,567360.0
550.0,28840.0,58236.0,290157.0,581361.0
617.0,29890.0,59399.0,297719.0,595344.0
582.0,30395.0,60392.0,302149.0,606588.0
587.0,30757.0,61494.0,308732.0,619383.0
649.0,31528.0,63041.0,316206.0,632500.0
705.0,32564.0,64598.0,321417.0,643770.0
653.0,32552.0,65388.0,327820.0,657655.0
712.0,33168.0,66833.0,333709.0,667487.0
716.0,33782.0,67851.0,339579.0,679593.0
697.0,34476.0,68753.0,344196.0,689692.0
695.0,35154.0,69966.0,350846.0,699877.0
713.0,35607.0,71434.0,354530.0,711092.0
677.0,36083.0,72149.0,360519.0,719966.0
732.0,36548.0,73015.0,365451.0,727175.0
706.0,36596.0,73493.0,368404.0,736217.0
727.0,37040.0,74662.0,373663.0,745412.0
735.0,37636.0,75277.0,375776.0,753441.0
731.0,37820.0,76021.0,380577.0,759789.0
715.0,38435.0,76241.0,383934.0,767268.0
788.0,38902.0,77628.0,386519.0,773595.0
793.0,39335.0,78022.0,390787.0,779769.0
793.0,39427.0,78427.0,393626.0,785332.0
807.0,39809.0,79208.0,396415.0,790866.0
770.0,39862.0,79409.0,398882.0,796738.0
812.0,40232.0,80509.0,400375.0,801344.0
813.0,40098.0,80950.0,402162.0,805092.0
755.0,40486.0,81035.0,404426.0,810816.0
815.0,40566.0,81471.0,406181.0,812366.0
802.0,40655.0,81635.0,410223.0,818137.0
791.0,41396.0,82518.0,410933.0,824168.0
876.0,41133.0,83119.0,412925.0,825413.0
864.0,41885.0,82998.0,416333.0,832912.0
859.0,41695.0,83270.0,415565.0,833460.0
903.0,42039.0,82902.0,417234.0,837115.0
905.0,42074.0,84054.0,419665.0,838828.0
850.0,42290.0,84080.0,420484.0,842255.0
911.0,42386.0,84403.0,423408.0,843245.0
826.0,42311.0,84967.0,424008.0,846036.0
910.0,42732.0,84471.0,424999.0,850759.0
858.0,42870.0,84948.0,426288.0,852424.0
827.0,42895.0,85344.0,427947.0,855554.0
819.0,42651.0,85898.0,428145.0,858681.0
881.0,42630.0,85772.0,429264.0,859620.0
810.0,43420.0,86203.0,430681.0,861832.0
885.0,43183.0,86315.0,430888.0,863866.0
877.0,43052.0,86467.0,432628.0,865529.0
877.0,43634.0,86890.0,434008.0,865928.0
842.0,44105.0,86603.0,434306.0,869036.0
879.0,43525.0,87483.0,435729.0,869991.0
884.0,43675.0,87188.0,436116.0,874064.0
892.0,43522.0,87687.0,435994.0,875283.0
851.0,44168.0,88183.0,437595.0,877519.0
